Priority,Type,"ID
 ","Title
 ","Year
 ","Venue
 ","First Author
 ","Domain
 ","PDF Saved
 ","Assigned To
 ","Status
 ","Notes
 ",Key words,,,,,,,,,,,,,,
High,Partially Simulation,1,HealMe: Harnessing Cognitive Reframing in Large Language Models for Psychotherapy,2024,ACL,Mengxi Xiao,,1.pdf,,,,"cognitive reframing, large language models, psychotherapy, mental health, empathy",,,,,,,,,,,,,,
High,Evaluation Framework,6,Can AI Relate: Testing Large Language Model Response for Mental Health Support,2024,EMNLP,Saadia Gabriel,,6.pdf,,,,"large language models, mental health, empathy, bias, psychotherapy",,,,,,,,,,,,,,
High,dataset method evaluation,10,Towards AI-Assisted Psychotherapy: Emotion-Guided Generative Interventions,2025,EMNLP,Kilichbek Haydarov,,10.pdf,,,,"AI-assisted psychotherapy, emotion-guided intervention, multimodal dataset, emotional dissonance, mental health",,,,,,,,,,,,,,
High,simulation evaluation safty,13,EmoAgent: Assessing and Safeguarding Human-AI Interaction for Mental Health Safety,2025,EMNLP,Jiahao Qiu,,13.pdf,,,,"mental health safety, human-AI interaction, large language models, emotional agent, risk assessment",,,,,,,,,,,,,,
High,Behavioral analysis,15,From Conversation to Automation: Leveraging LLMs for Problem-Solving Therapy Analysis,2025,ACL,Elham Aghakhani,,15.pdf,,,,"large language models, problem-solving therapy, mental health, dialogue analysis, automated annotation",,,,,,,,,,,,,,
High,,18,AnnaAgent: Dynamic Evolution Agent System with Multi-Session Memory for Realistic Seeker Simulation,2025,ACL,Ming Wang,,18.pdf,,,,"seeker simulation, dynamic evolution, multi-session memory, psychological counseling, conversational agent",,,,,,,,,,,,,,
High,,21,CARE-Bench: A Benchmark of Diverse Client Simulations Guided by Expert Principles for Evaluating LLMs in Psychological Counseling,2026,AAAI,Bichen Wang,,21.pdf,,,,"benchmark, psychological counseling, large language models, client simulation, evaluation",,,,,,,,,,,,,,
High,Training system,23,GenAI for Social Work Field Education: Client Simulation with Real-Time Feedback,2026,IEEE BigData,James Sungarda,,23.pdf,,,,"GenAI, social work, client simulation, real-time feedback, Motivational Interviewing",,,,,,,,,,,,,,
High,dataset model,29,ChatCounselor: A Large Language Models for Mental Health Support,2023,CIKM 2023,June M. Liu,,29.pdf,,,,"ChatCounselor, mental health, large language models, counseling, Psych8k, fine-tuning, GPT-4 evaluation",,,,,,,,,,,,,,
High,evaluation framework,31,A Computational Framework for Behavioral Assessment of LLM Therapists,2024,arXiv,Yu Ying Chiu,,31.pdf,,,,"large language models, mental health, therapy, behavioral assessment, computational framework, motivational interviewing",,,,,,,,,,,,,,
High,survey,32,Large Language Models in Mental Health Care: a Scoping Review,2024,arXiv,Yining Hua,,32.pdf,,,,"Artificial Intelligence, Mental Health, Digital Psychiatry, Natural Language Processing",,,,,,,,,,,,,,
High,,34,Understanding the Therapeutic Relationship between Counselors and Clients in Online Text-based Counseling using LLMs,2024,arXiv,Anqi Li,,34.pdf,,,,"therapeutic relationship, online text-based counseling, large language models, therapeutic alliance, NLP, mental health",,,,,,,,,,,,,,
High,,38,Towards a Client-Centered Assessment of LLM Therapists by Client Simulation,2024,arXiv,Jiashuo Wang,,38.pdf,,,,"LLM therapy, client simulation, assessment, mental health, ClientCAST",,,,,,,,,,,,,,
High,,39,PsycoLLM: Enhancing LLM for Psychological Understanding and Evaluation,2024,"IEEE TRANSACTIONS ON XXX, VOL. X, 2024",Jinpeng Hu,,39.pdf,,,,"large language model, psychological understanding, psychological evaluation, mental health",,,,,,,,,,,,,,
High,evaluation framework,45,PsychiatryBench: a multi-task benchmark for LLMs in psychiatry,2026,npj Digital Medicine,Aya E. Fouda,,45.pdf,,,,"Empirical studies in HCI, Interactive learning environments, LLM-based simulation, counselor training, feedback, randomized study",,,,,,,,,,,,,,
High,,47,Exploring Safety Alignment Evaluation of LLMs in Chinese Mental Health Dialogues via LLM-as-Judge,2026,arXiv,Yunna Cai,,47.pdf,,,,"mental health, question answering, large language models, benchmark, expert evaluation, adversarial benchmarking, safety",,,,,,,,,,,,,,
High,,49,PsyCLIENT: Client Simulation via Conversational Trajectory Modeling for Trainee Practice and Model Evaluation in Mental Health Counseling,2026,arXiv,Huachuan Qiu,,49.pdf,,,,"large language models, mental health crisis, crisis evaluation, chatbot safety, mental health chatbots, harm detection",,,,,,,,,,,,,,
High,,55,LLM-Empowered Medical Patient Communication: A Data-Centric Survey From a Clinical Perspective,2025,ACL,Ruosi Shao,,55.pdf,,,,"large language models, medical patient communication, clinical communication, medical datasets, scenario-based taxonomy, patient-provider communication, LLM evaluation, clinical NLP",,,,,,,,,,,,,,
High,,56,Do Large Language Models Align with Core Mental Health Counseling Competencies?,2025,NAACL 2025,Viet Cuong Nguyen,,56.pdf,,,,"Large Language Models, mental health counseling, NCMHCE, CounselingBench, AI alignment",,,,,,,,,,,,,,
High,,58,CBT-BENCH: Evaluating Large Language Models on Assisting Cognitive Behavior Therapy,2025,ACL,Mian Zhang,,58.pdf,,,,"cognitive behavioral therapy, large language models, benchmark, mental health, psychotherapy, cognitive distortion classification, core belief classification, therapeutic response generation",,,,,,,,,,,,,,
High,,60,KMI: A Dataset of Korean Motivational Interviewing Dialogues for Psychotherapy,2025,ACL,Hyunjong Kim,,58.pdf,,,,"Korean Motivational Interviewing, psychotherapy dataset, synthetic dialogue generation, mental health chatbot, LLM, MI forecaster, Korean mental health",,,,,,,,,,,,,,
High,,63,Evaluating Large Language Models for Enhancing Live Chat Therapy: A Comparative Study with Psychotherapists,2025,SIGDIAL,Neha Deshpande,,63.pdf,,,,"Large Language Models, live chat therapy, psychotherapists, CSAM, cognitive behavioral therapy, retrieval-augmented generation, mental health, AI assistant",,,,,,,,,,,,,,
High,,64,A Survey on LLM-based Conversational User Simulation,2026,EACL,Bo Ni,,64.pdf,,,,"LLM, conversational user simulation, survey, taxonomy, large language models, user behavior simulation, synthetic conversation",,,,,,,,,,,,,,
High,,65,Building Personality-Adaptive Conversational AI for Mental Health Therapy,2024,BCB '24,Sugam Jaiswal,,65.pdf,,,,"large language models, mental healthcare, chatbot, PACA, conversational AI, personality, prompt engineering, fine-tuning",,,,,,,,,,,,,,
High,,68,MentalChat16K: A Benchmark Dataset for Conversational Mental Health Assistance,2025,KDD '25,Jia Xu,,68.pdf,,,,"Conversational AI, Large Language Models, LLM Fine-tuning, Mental Health, QLoRA",,,,,,,,,,,,,,
High,,69,Using a Secondary Channel to Display the Internal Empathic Resonance of LLM-Driven Agents for Mental Health Support,2025,ICMI '25,Matthias Schmidmaier,,69.pdf,,,,"LLM, empathy, mental health, internal feedback, HCI, conversational agents, multimodal interaction",,,,,,,,,,,,,,
High,,71,Using Nonverbal Cues in Empathic Multi-Modal LLM-Driven Chatbots for Mental Health Support,2025,ACM,Matthias Schmidmaier,,71.pdf,,,,"human-computer interaction, LLM, multi-modal LLM, empathy, context awareness, nonverbal communication, mental health",,,,,,,,,,,,,,
High,,72,Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorder Diagnosis,2025,CIKM '25,Mithat Can Ozgun,,72.pdf,,,,"Trustworthy AI Psychotherapy, Multi-Agent LLMs, Explainable Mental Disorder Diagnosis",,,,,,,,,,,,,,
High,,75,Can LLM-Simulated Practice and Feedback Upskill Human Counselors? A Randomized Study with 90+ Novice Counselors,2026,CHI '26,Ryan Louie,,75.pdf,,,,"LLM-simulated practice, counselor training, feedback, empathy, randomized study, novice counselors, client-centered microskills, AI feedback system",,,,,,,,,,,,,,
High,,77,Human-Human vs Human-AI Therapy: An Empirical Study,2025,IJHCI,Mohammad Amin Kuhail,,77.pdf,,,,"Chatbots, counseling, therapy, AI, mental health, human-AI interaction",,,,,,,,,,,,,,
High,,78,It's Not Only Attention We Need: Systematic Review of Large Language Models in Mental Health Care,2025,JMIR Ment Health,Andreas Bucher,,78.pdf,,,,"AI, GenAI, large language models, LLM, mental health, systematic review",,,,,,,,,,,,,,
High,,80,Roleplay-doh: Enabling Domain-Experts to Create LLM-simulated Patients via Eliciting and Adhering to Principles,2024,EMNLP,Ryan Louie,,80.pdf,,,,"LLM simulation, mental health, roleplay, principle adherence, AI patients",,,,,,,,,,,,,,
High,,81,PATIENT-Ψ: Using Large Language Models to Simulate Patients for Training Mental Health Professionals,2024,EMNLP,Ruiyi Wang,,81.pdf,,,,"LLM, patient simulation, cognitive behavior therapy, mental health training, CBT formulation",,,,,,,,,,,,,,
High,,83,CACTUS: Towards Psychological Counseling Conversations using Cognitive Behavioral Theory,2024,EMNLP,Suyeon Lee,,83.pdf,,,,"CACTUS, psychological counseling, cognitive behavioral therapy, multi-turn dialogue, large language models",,,,,,,,,,,,,,
High,,84,To What Extent Are Large Language Models Capable of Generating Substantial Reflections for Motivational Interviewing Counseling Chatbots? A Human Evaluation,2024,ACL,Erkan Basar,,84.pdf,,,,"large language models, motivational interviewing, chatbots, health counseling, reflection generation",,,,,,,,,,,,,,
High,,86,Consistent Client Simulation for Motivational Interviewing-based Counseling,2025,ACL,Yizhe Yang,,86.pdf,,,,"client simulation, motivational interviewing, consistency, mental health counseling, large language models",,,,,,,,,,,,,,
High,,87,CAMI: A Counselor Agent Supporting Motivational Interviewing through State Inference and Topic Exploration,2025,ACL,Yizhe Yang,,87.pdf,,,,"motivational interviewing, counselor agent, state inference, topic exploration, large language models",,,,,,,,,,,,,,
