Field,Type,Categories,Statistic,Raw agreement (%),Kappa,N,N disagree,Disagreement detail
Eval_Human_Experts,binary,Yes / No,Cohen's kappa,90.4,0.773,52,5,YES→NO (5篇)
Eval_Lay_Users,binary,Yes / No,Cohen's kappa,90.4,0.762,52,5,YES→NO (4篇)；NO→YES (1篇)
Eval_User_Study,binary,Yes / No,Cohen's kappa,96.2,0.915,52,2,YES→NO (2篇)
Eval_LLM_Judge,binary,Yes / No,Cohen's kappa,94.2,0.883,52,3,YES→NO (2篇)；NO→YES (1篇)
Eval_Automatic,binary,Yes / No,Cohen's kappa,78.8,0.528,52,11,YES→NO (10篇)；NO→YES (1篇)
Realism,binary,Yes / No,Cohen's kappa,90.4,0.802,52,5,NO→YES (3篇)；YES→NO (2篇)
Consistency,binary,Yes / No,Cohen's kappa,82.7,0.63,52,9,YES→NO (8篇)；NO→YES (1篇)
Fidelity,binary,Yes / No,Cohen's kappa,75.0,0.457,52,13,YES→NO (8篇)；NO→YES (5篇)
Utility,binary,Yes / No,Cohen's kappa,90.4,0.613,52,5,YES→NO (4篇)；NO→YES (1篇)
Human Learning / Outcomes,binary,Yes / No,Cohen's kappa,88.5,0.678,52,6,NO→YES (5篇)；YES→NO (1篇)
Emotional Plausibility,binary,Yes / No,Cohen's kappa,86.5,0.726,52,7,YES→NO (4篇)；NO→YES (3篇)
Safety,binary,Yes / No,Cohen's kappa,75.0,0.451,52,13,YES→NO (12篇)；NO→YES (1篇)
Uses_Dynamic_State,binary,Yes / No,Cohen's kappa,84.6,0.636,52,8,YES→NO (8篇)
Intervention_Sensitivity,binary,Yes / No,Cohen's kappa,75.0,0.435,52,13,YES→NO (10篇)；NO→YES (3篇)
Has_Rubric,binary,Yes / No,Cohen's kappa,90.4,0.611,52,5,NO→YES (3篇)；YES→NO (2篇)
LLM_Judge_Validated,binary,Yes / No,Cohen's kappa,82.7,0.658,52,9,YES→NO (9篇)
Uses_Standard_Metrics,binary,Yes / No,Cohen's kappa,90.4,0.57,52,5,YES→NO (5篇)
Metric_Interpretable,binary,Yes / No,Cohen's kappa,100.0,,52,0,0/52 篇分歧
Comparable_To_Prior_Work,binary,Yes / No,Cohen's kappa,92.3,0.565,52,4,NO→YES (4篇)
Has_Longitudinal_Eval,binary,Yes / No,Cohen's kappa,88.5,0.347,52,6,YES→NO (5篇)；NO→YES (1篇)
Has_Robustness_Testing,binary,Yes / No,Cohen's kappa,71.2,0.334,52,15,YES→NO (12篇)；NO→YES (3篇)
Has_Failure_Analysis,binary,Yes / No,Cohen's kappa,80.8,0.545,52,10,YES→NO (9篇)；NO→YES (1篇)
Sim_Behavior_Realistic,binary,Yes / No,Cohen's kappa,86.5,0.731,52,7,YES→NO (5篇)；NO→YES (2篇)
Dataset_Available,binary,Yes / No,Cohen's kappa,88.5,0.731,52,6,YES→NO (5篇)；NO→YES (1篇)
Simulation_Target,nominal,Client Agent / Therapist Agent / Dual-Agent / Human Trainee,Cohen's kappa,86.5,0.808,52,7,THERAPIST AGENT→DUAL-AGENT (2篇)；THERAPIST AGENT→CLIENT AGENT (1篇)
Persona_Model_Depth,ordinal,Surface Persona / Behavioral State Model / Cognitive Model / Dynamic Traits / Expert Principles,Linearly weighted Cohen's kappa,63.5,0.564,52,19,EXPERT PRINCIPLES→SURFACE PERSONA (4篇)；SURFACE PERSONA→EXPERT PRINCIPLES (3篇)；极端分歧(11)
Theory_Operationalized,ordinal,Strong / Partial / Mentioned / None,Linearly weighted Cohen's kappa,75.0,0.421,48,12,STRONG→PARTIAL (5篇)；PARTIAL→MENTIONED (3篇)；相邻分歧(10)；极端分歧(2)
Behavior_Eval_Depth,ordinal,Dynamic / Pattern-level / Static / None,Linearly weighted Cohen's kappa,50.0,0.178,36,18,DYNAMIC→STATIC (8篇)；STATIC→PATTERN-LEVEL (5篇)；相邻分歧(9)；极端分歧(9)
Interaction_Level,ordinal,Single-turn / Short Multi-turn / Extended Dialogue / Longitudinal,Linearly weighted Cohen's kappa,74.0,0.696,50,13,SHORT MULTI-TURN→EXTENDED DIALOGUE (4篇)；EXTENDED DIALOGUE→SHORT MULTI-TURN (3篇)；相邻分歧(12)；极端分歧(1)
Prompt_Disclosure,ordinal,Full / Partial / No,Linearly weighted Cohen's kappa,76.9,0.427,52,12,FULL→PARTIAL (7篇)；FULL→NO (3篇)；相邻分歧(9)；极端分歧(3)
Theory_Grounding,ordinal,Strong / Weak / None,Linearly weighted Cohen's kappa,81.2,0.526,48,9,STRONG→WEAK (8篇)；WEAK→STRONG (1篇)；相邻分歧(9)
Reliability_Reported,nominal,Yes / No / N/A,Cohen's kappa,76.7,0.553,43,10,YES→NO (10篇)
Coding Options,nominal,Yes / No / N/A,Cohen's kappa,70.5,0.444,44,13,YES→NO (12篇)；NO→YES (1篇)
