Paper_ID,字段,字段中文,定义,cxt值,hyh值,原始证据,cxt补充证据,修正判定,理由
1,Eval_Automatic,自动指标评估,是否使用算法/数学公式自动计算的指标（YES/NO）,YES,NO,"治疗师的回复从三个方面（共情、逻辑连贯性和引导）以及一个总体分数进行评估（Larsson et al., 2016），每个评估指标分数范围从0到3。",关于AI治疗师，我们采用双重评估方法：人工评估与自动评估。我们的领域专家合著者设计,NO,人打分后算指标，不是算法自动计算
6,Eval_Lay_Users,普通用户评估,非专家/普通用户是否参与评估（YES/NO）,YES,NO,我们首先与两位持证临床心理学家进行了一项专家评估。这两位临床医生均具备成人心理学背景，专攻抑郁症、焦虑障碍及认知行为疗法。,我们利用Amazon Mechanical Turk开展了一项随机对照实验，以众包方式获取同伴支持回应……每位Mechanical Turk工作人员会看到一条帖子，并要求其提供回复，如同回复朋友一般。,NO,MTurk用户用于生成数据，不是评估
6,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,FULL,PARTIAL,对于GPT-4的回复，我们总共测试了3种不同的处理角色设置：,“下面显示了一个SMP角色提示示例：”,PARTIAL,只展示了部分提示词示例，不是全部
10,Fidelity,保真度,评估中是否考察是否符合预设角色/目标（YES/NO）,YES,NO,基于三个关键标准的评估框架：,我们利用大型语言模型（LLMs）强大的情境学习能力，在无需显式微调的情况下生成治疗性干预措施。,NO,评估标准为适用性/共情/全面性，未考察角色保真度
13,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,DYNAMIC,STATIC,每个用户代理均使用心理测量工具（见第3.1.3节）进行自我心理健康评估，以确定初始心理状态。……交互结束后，用户代理再次使用初始化阶段相同的工具重新评估其心理健康状态。,模拟患者与基于角色的智能体人格进行结构化、话题驱动的对话。每次对话被划分为明确的话题，每个话题最多10个对话轮次……在对话过程中，一旦某个话题超过3个对话轮次，对话,STATIC,论文仅做前后测对比(2时间点)，属于STATIC。安全防护代理每3轮分析是干预机制非评估方法 [校验修正]
13,Uses_Dynamic_State,是否使用动态状态建模,是否使用动态状态建模（YES/NO）,YES,NO,每个用户代理使用心理测量工具（见第3.1.3节）进行自我心理健康评估，以建立初始心理状态。……在交互之后，用户代理使用初始化时应用的相同工具重新评估其心理健康状态。,安全防护代理每经过三轮对话后分析对话内容，提供结构化反馈以优化基于角色的代理的响应，并缓解潜在风险。,YES,前后测+每3轮持续分析，符合动态状态建模
15,Eval_LLM_Judge,LLM裁判评估,是否使用大模型进行打分、比较、排序（YES/NO）,YES,NO,我们的工作通过使用大型语言模型（LLMs）自动化PST标注，并利用闭源与开源模型对治疗师话语进行分类，从而填补了这一空白。,我们引导GPT-4o分析每个治疗师话语中的治疗动态（见附录C.2）。,YES,GPT-4o分析每个治疗师话语的治疗动态，属于LLM评估判断
15,Fidelity,保真度,评估中是否考察是否符合预设角色/目标（YES/NO）,NO,YES,采用此方法，我们将这些模型的效率和准确性与我们标注的500条话语进行了比较。……GPT-4o优于所有模型，在识别所有策略方面达到了最高准确率（0.76）。,不认可在治疗环境中使用大语言模型，也不声称它们已准备好应用于此类场景。,NO,评估的是标注分类准确性，不是角色保真度
15,LLM_Judge_Validated,LLM裁判验证,LLM裁判是否经过与人类判断的对比验证（YES/NO）,YES,NO,我们的工作通过使用LLMs自动化PST注释来弥补这一空白，同时使用闭源和开源模型对治疗师的发言进行分类。,我们采用Cohen's Kappa系数评估了不同类别PST策略的标注者间一致性。研究结果显示，本编码手册中各策略的一致性评分介于0.69至0.88之间，表明具有较高的一致性水平。,YES,有Cohen's Kappa验证标注一致性，得分0.69-0.88
18,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,DYNAMIC,STATIC,我们使用BERT-score（Zhang等人，2020）评估模拟器话语与真实寻求者话语的一致性，以此作为拟人化的评价指标。... 每种方法创建的虚拟寻求者的最终人格保真度由公式(5)得出。,,STATIC,系统有动态设计，但评估只用聚合分数，未分析轮次间变化
18,Eval_Human_Experts,领域专家评估,领域专家（治疗师、临床医生、受过训练的标注员）是否参与评估（YES/NO）,YES,NO,我们通过从不同角度评估模拟器与实际搜寻者之间的行为一致性，定量比较了不同方法在搜寻者模拟中的性能。,我们邀请了三位具有心理学背景的专家来审查数据。首先要求他们根据求助者的档案、咨询师的报告以及对话，标记主诉链条是否合理。随后，如果超过两位标注者认为需要，则对这些链条进行手动修正。,NO,专家审查修正主诉链条属数据准备，非评估系统输出。评估环节完全自动化(BERT-score/G-Eval) (校验修正)
18,Has_Longitudinal_Eval,纵向评估,是否包含跨时间/多次会话的纵向评估（YES/NO）,YES,NO,以Qwen2.5-7B-Instruct作为主干大语言模型，我们比较了AnnaAgent与基线方法在与不同咨询师模型对话时的拟人化表现。……我们比较了AnnaAgent与基线方法在与不同咨询师模型对话时的拟人化表现。,“多会话记忆挑战……我们将多会话记忆建模为一种三级记忆机制。……长期记忆指更早时期的经验，包括先前会话的尺度与对话。”,NO,系统有跨会话设计但评估交互在单会话内完成，不符合纵向评估定义 [人工确认]
18,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,LONGITUDINAL,EXTENDED DIALOGUE,此外，我们使用D4数据集（Yao等人，2022）和DAIC-WOZ数据集（Gratch等人，2014）中的记录作为先前会话的基础。……具体而言，我们设计了一系列与用于人格保真度的问题类似的问题，以验证长期记忆的有效性。,如图3所示，截至并包括上一会话的内容被定义为长期记忆，当前会话开始之前的内容为实时记忆，而两者之间的内容则被定义为短期记忆。,EXTENDED DIALOGUE,使用先前会话数据作为上下文，但评估交互本身是在单次扩展对话内完成 [人工确认]
18,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,本文的主要目的是更真实地模拟搜索者。为此，我们通过从不同角度评估模拟器与真实搜索者之间的行为一致性，定量比较了搜索者模拟中不同方法的性能。……拟人化…… Pe,我们组织了一个由经验丰富的咨询师组成的伦理审查委员会……以避免其他潜在的伦理风险。”我们将仅开源合成会话的对话内容及处理代码……我们不会无条件开源直接源自用户的数据。,NO,伦理审查委员会和数据开源限制为伦理声明/措施，非对有害输出的评估 (校验修正)
18,Utility,实用性,评估中是否考察对任务是否有用/有效（YES/NO）,YES,NO,本文的主要目的是更逼真地模拟搜寻者。因此，我们通过从不同角度评估模拟器与真实搜寻者之间的行为一致性，定量比较了不同方法在搜寻者模拟中的性能。……拟人化……Pe,这项研究提供了创新性解决方案，以缓解全球心理健康资源短缺的问题。通过模拟更真实的求助者行为，AnnaAgent为心理学开辟了新的路径。,NO,cxt补充仅为系统有用性声明/愿景，非对实用性的评估 (校验修正)
21,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,YES,NO,人类专家与GPT-4o之间的平均一致性达到0.72。,人类专家与GPT-4o之间的平均一致性达到0.72。,YES,明确报告人类专家与GPT-4o平均一致性0.72，属于标准化信度系数。
21,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,EXPERT PRINCIPLES/BEHAVIORAL MODEL,EXPERT PRINCIPLES,受基于原则的患者模拟（Louie et al. 2024）的启发，我们为每位模拟客户制定了一套个性化、专家引导的原则。……每个客户档案平均包含5条指导原则，最多可达22条，这为模拟提供了充分的指导。,,EXPERT PRINCIPLES,证据强调基于专家引导的原则，未提及其他深度模型。
