field,kappa,agreement_rate,n,n_disagree,reason,nature,note
Behavior_Eval_Depth,0.139,0.5,36,18,cxt 标 DYNAMIC 的 8 篇中 hyh 标了 STATIC；cxt 标 STATIC 的 5 篇中 hyh 标了 PATTERN-LEVEL；hyh 使用了 cxt 没用的选项(PATTERN-LEVEL),概念理解差异,
Has_Robustness_Testing,0.334,0.712,52,15,cxt 标 YES 的 12 篇中 hyh 标了 NO；cxt 标 NO 的 3 篇中 hyh 标了 YES,系统性错误,
Has_Longitudinal_Eval,0.347,0.885,52,6,cxt 标 YES 的 5 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,概念理解差异,
Theory_Operationalized,0.382,0.75,48,12,cxt 标 STRONG 的 5 篇中 hyh 标了 PARTIAL；cxt 标 PARTIAL 的 3 篇中 hyh 标了 MENTIONED,概念理解差异,
Prompt_Disclosure,0.41,0.769,52,12,cxt 标 FULL 的 7 篇中 hyh 标了 PARTIAL；cxt 标 FULL 的 3 篇中 hyh 标了 NO,概念理解差异,
Intervention_Sensitivity,0.435,0.75,52,13,cxt 标 YES 的 10 篇中 hyh 标了 NO；cxt 标 NO 的 3 篇中 hyh 标了 YES,系统性错误,
Coding Options,0.444,0.705,44,13,cxt 标 YES 的 12 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,系统性错误,
Safety,0.451,0.75,52,13,cxt 标 YES 的 12 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,系统性错误,
Fidelity,0.457,0.75,52,13,cxt 标 YES 的 8 篇中 hyh 标了 NO；cxt 标 NO 的 5 篇中 hyh 标了 YES,概念理解差异,
Persona_Model_Depth,0.511,0.635,52,19,cxt 标 EXPERT PRINCIPLES 的 4 篇中 hyh 标了 SURFACE PERSONA；cxt 标 SURFACE PERSONA 的 3 篇中 hyh 标了 EXPERT PRINCIPLES；cxt 有 8 篇用了组合值,概念理解差异,
Theory_Grounding,0.526,0.812,48,9,cxt 标 STRONG 的 8 篇中 hyh 标了 WEAK；cxt 标 WEAK 的 1 篇中 hyh 标了 STRONG,概念理解差异,
Eval_Automatic,0.528,0.788,52,11,cxt 标 YES 的 10 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,系统性错误,
Has_Failure_Analysis,0.545,0.808,52,10,cxt 标 YES 的 9 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,系统性错误,
Reliability_Reported,0.553,0.767,43,10,cxt 标 YES 的 10 篇中 hyh 标了 NO,系统性错误,
Comparable_To_Prior_Work,0.565,0.923,52,4,cxt 标 NO 的 4 篇中 hyh 标了 YES,轻微校准差异,
Interaction_Level,0.568,0.74,50,13,cxt 标 SHORT MULTI-TURN 的 4 篇中 hyh 标了 EXTENDED DIALOGUE；cxt 标 EXTENDED DIALOGUE 的 3 篇中 hyh 标了 SHORT MULTI-TURN,概念理解差异,
Uses_Standard_Metrics,0.57,0.904,52,5,cxt 标 YES 的 5 篇中 hyh 标了 NO,轻微校准差异,
Has_Rubric,0.611,0.904,52,5,cxt 标 NO 的 3 篇中 hyh 标了 YES；cxt 标 YES 的 2 篇中 hyh 标了 NO,概念理解差异,
Utility,0.613,0.904,52,5,cxt 标 YES 的 4 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,轻微校准差异,
Consistency,0.63,0.827,52,9,cxt 标 YES 的 8 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,系统性错误,
Uses_Dynamic_State,0.636,0.846,52,8,cxt 标 YES 的 8 篇中 hyh 标了 NO,系统性错误,
LLM_Judge_Validated,0.658,0.827,52,9,cxt 标 YES 的 9 篇中 hyh 标了 NO,系统性错误,
Human Learning / Outcomes,0.678,0.885,52,6,cxt 标 NO 的 5 篇中 hyh 标了 YES；cxt 标 YES 的 1 篇中 hyh 标了 NO,轻微校准差异,
Emotional Plausibility,0.726,0.865,52,7,cxt 标 YES 的 4 篇中 hyh 标了 NO；cxt 标 NO 的 3 篇中 hyh 标了 YES,概念理解差异,
Dataset_Available,0.731,0.885,52,6,cxt 标 YES 的 5 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,轻微校准差异,
Sim_Behavior_Realistic,0.731,0.865,52,7,cxt 标 YES 的 5 篇中 hyh 标了 NO；cxt 标 NO 的 2 篇中 hyh 标了 YES,概念理解差异,
Eval_Lay_Users,0.762,0.904,52,5,cxt 标 YES 的 4 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,轻微校准差异,
Eval_Human_Experts,0.773,0.904,52,5,cxt 标 YES 的 5 篇中 hyh 标了 NO,轻微校准差异,
Realism,0.802,0.904,52,5,cxt 标 NO 的 3 篇中 hyh 标了 YES；cxt 标 YES 的 2 篇中 hyh 标了 NO,概念理解差异,
Simulation_Target,0.808,0.865,52,7,cxt 标 THERAPIST AGENT 的 2 篇中 hyh 标了 DUAL-AGENT；cxt 标 THERAPIST AGENT 的 1 篇中 hyh 标了 CLIENT AGENT；hyh 使用了 cxt 没用的选项(PERSONA AGENT),概念理解差异,
Eval_LLM_Judge,0.883,0.942,52,3,cxt 标 YES 的 2 篇中 hyh 标了 NO；cxt 标 NO 的 1 篇中 hyh 标了 YES,轻微校准差异,
Eval_User_Study,0.915,0.962,52,2,cxt 标 YES 的 2 篇中 hyh 标了 NO,轻微校准差异,
Metric_Interpretable,,1.0,52,0,cxt 全标同一值，无变异，无法计算 kappa,无变异,single label — no variance
