variable,cxt_value,hyh_value,count
Eval_Human_Experts,NO,NO,13
Eval_Human_Experts,NO,YES,0
Eval_Human_Experts,YES,NO,5
Eval_Human_Experts,YES,YES,34
Eval_Lay_Users,NO,NO,35
Eval_Lay_Users,NO,YES,1
Eval_Lay_Users,YES,NO,4
Eval_Lay_Users,YES,YES,12
Eval_User_Study,NO,NO,33
Eval_User_Study,NO,YES,0
Eval_User_Study,YES,NO,2
Eval_User_Study,YES,YES,17
Eval_LLM_Judge,NO,NO,21
Eval_LLM_Judge,NO,YES,1
Eval_LLM_Judge,YES,NO,2
Eval_LLM_Judge,YES,YES,28
Eval_Automatic,NO,NO,11
Eval_Automatic,NO,YES,1
Eval_Automatic,YES,NO,10
Eval_Automatic,YES,YES,30
Realism,NO,NO,19
Realism,NO,YES,3
Realism,YES,NO,2
Realism,YES,YES,28
Consistency,NO,NO,29
Consistency,NO,YES,1
Consistency,YES,NO,8
Consistency,YES,YES,14
Fidelity,NO,NO,12
Fidelity,NO,YES,5
Fidelity,YES,NO,8
Fidelity,YES,YES,27
Utility,NO,NO,5
Utility,NO,YES,1
Utility,YES,NO,4
Utility,YES,YES,42
Human Learning / Outcomes,NO,NO,37
Human Learning / Outcomes,NO,YES,5
Human Learning / Outcomes,YES,NO,1
Human Learning / Outcomes,YES,YES,9
Emotional Plausibility,NO,NO,19
Emotional Plausibility,NO,YES,3
Emotional Plausibility,YES,NO,4
Emotional Plausibility,YES,YES,26
Safety,NO,NO,29
Safety,NO,YES,1
Safety,YES,NO,12
Safety,YES,YES,10
Uses_Dynamic_State,NO,NO,33
Uses_Dynamic_State,NO,YES,0
Uses_Dynamic_State,YES,NO,8
Uses_Dynamic_State,YES,YES,11
Intervention_Sensitivity,NO,NO,10
Intervention_Sensitivity,NO,YES,3
Intervention_Sensitivity,YES,NO,10
Intervention_Sensitivity,YES,YES,29
Has_Rubric,NO,NO,5
Has_Rubric,NO,YES,3
Has_Rubric,YES,NO,2
Has_Rubric,YES,YES,42
LLM_Judge_Validated,NO,NO,25
LLM_Judge_Validated,NO,YES,0
LLM_Judge_Validated,YES,NO,9
LLM_Judge_Validated,YES,YES,18
Uses_Standard_Metrics,NO,NO,4
Uses_Standard_Metrics,NO,YES,0
Uses_Standard_Metrics,YES,NO,5
Uses_Standard_Metrics,YES,YES,43
Metric_Interpretable,YES,YES,52
Comparable_To_Prior_Work,NO,NO,3
Comparable_To_Prior_Work,NO,YES,4
Comparable_To_Prior_Work,YES,NO,0
Comparable_To_Prior_Work,YES,YES,45
Has_Longitudinal_Eval,NO,NO,44
Has_Longitudinal_Eval,NO,YES,1
Has_Longitudinal_Eval,YES,NO,5
Has_Longitudinal_Eval,YES,YES,2
Has_Robustness_Testing,NO,NO,8
Has_Robustness_Testing,NO,YES,3
Has_Robustness_Testing,YES,NO,12
Has_Robustness_Testing,YES,YES,29
Has_Failure_Analysis,NO,NO,10
Has_Failure_Analysis,NO,YES,1
Has_Failure_Analysis,YES,NO,9
Has_Failure_Analysis,YES,YES,32
Sim_Behavior_Realistic,NO,NO,21
Sim_Behavior_Realistic,NO,YES,2
Sim_Behavior_Realistic,YES,NO,5
Sim_Behavior_Realistic,YES,YES,24
Dataset_Available,NO,NO,13
Dataset_Available,NO,YES,1
Dataset_Available,YES,NO,5
Dataset_Available,YES,YES,33
Simulation_Target,CLIENT AGENT,CLIENT AGENT,14
Simulation_Target,CLIENT AGENT,DUAL-AGENT,0
Simulation_Target,CLIENT AGENT,HUMAN TRAINEE,0
Simulation_Target,CLIENT AGENT,PERSONA AGENT,0
Simulation_Target,CLIENT AGENT,THERAPIST AGENT,0
Simulation_Target,DUAL-AGENT,CLIENT AGENT,0
Simulation_Target,DUAL-AGENT,DUAL-AGENT,6
Simulation_Target,DUAL-AGENT,HUMAN TRAINEE,0
Simulation_Target,DUAL-AGENT,PERSONA AGENT,0
Simulation_Target,DUAL-AGENT,THERAPIST AGENT,1
Simulation_Target,HUMAN TRAINEE,CLIENT AGENT,0
Simulation_Target,HUMAN TRAINEE,DUAL-AGENT,0
Simulation_Target,HUMAN TRAINEE,HUMAN TRAINEE,5
Simulation_Target,HUMAN TRAINEE,PERSONA AGENT,0
Simulation_Target,HUMAN TRAINEE,THERAPIST AGENT,1
Simulation_Target,HUMAN TRAINEE/DUAL-AGENT,CLIENT AGENT,0
Simulation_Target,HUMAN TRAINEE/DUAL-AGENT,DUAL-AGENT,0
Simulation_Target,HUMAN TRAINEE/DUAL-AGENT,HUMAN TRAINEE,0
Simulation_Target,HUMAN TRAINEE/DUAL-AGENT,PERSONA AGENT,1
Simulation_Target,HUMAN TRAINEE/DUAL-AGENT,THERAPIST AGENT,0
Simulation_Target,HUMAN TRAINEE/REFRAMING ASSISTANT,CLIENT AGENT,0
Simulation_Target,HUMAN TRAINEE/REFRAMING ASSISTANT,DUAL-AGENT,0
Simulation_Target,HUMAN TRAINEE/REFRAMING ASSISTANT,HUMAN TRAINEE,1
