Field,定义,类型,可选值/判断规则
Paper_ID,论文编号,文本,"1, 2, 3, ..."
Citation_Key,自动生成的 BibTeX 引用键,自动生成,—
Bibtex,自动生成的 BibTeX 完整引用,自动生成,—
Title,论文标题,文本,—
Year,发表年份,数字,—
Venue,发表会议/期刊,文本,—
Domain,论文的研究领域,文本,Counseling / Healthcare / Education / General
Focus_Type,论文的主要研究焦点类型,开放分类,SimulationFramework: 提出模拟框架 / EvaluationFramework: 提出评估框架 / Dataset: 构建数据集 / Training System: 训练系统 / Tool: 工具
Simulation_Target,论文模拟的对象,单选,Client Agent: 模拟来访者 / Therapist Agent: 模拟咨询师 / Dual-Agent: 双方都模拟 / Human Trainee: 人类受训者
Persona_Model_Depth,模拟用户画像的建模深度,单选,Surface Persona: 表层描述(如用文字profile) / Behavioral State Model: 行为状态模型 / Cognitive Model: 认知模型(含信念/动机等) / Dynamic Traits: 动态特质(随对话变化) / Expert Principles: 专家定义的原则
Uses_Dynamic_State,模拟系统是否追踪并更新来访者/用户的心理状态,Yes/No,Yes: 有明确的动态状态追踪机制（如TTM阶段转换、状态转移、会话记忆等） / No: 无状态追踪，行为不随对话变化
Temporal_Modeling_Details,动态状态建模的具体方式描述,自由文本,如 State transitions / Session memory / Dynamic openness / Conversation principles update / Limited
Eval_Human_Experts,领域专家进行的评估,Yes/No,标 Yes: 治疗师、临床医生、领域专家、受过训练的标注员 / 标 No: 众包工人、无专业知识的学生、LLM评估。核心判断规则: 评估者具备与任务相关的领域专业知识。
Eval_Lay_Users,非专家/普通用户评估,Yes/No,标 Yes: MTurk/Prolific众包工人、普通用户、未提及专业背景的参与者 / 标 No: 领域专家、受过训练的标注员。核心判断规则: 参与者是没有领域专业知识的普通用户。
Eval_User_Study,结构化实验,Yes/No,标 Yes: 用户与系统发生交互，有明确任务、协议或实验设计 / 标 No: 简单的打分任务（无交互）、静态输出评估。核心判断规则: 参与者在实验环境中主动与系统发生了交互。
Eval_LLM_Judge,大模型作为裁判,Yes/No,标 Yes: 使用 GPT-4/Claude 等进行打分、比较、排序 / 标 No: 提取向量相似度、特征提取、计算指标。核心判断规则: LLM 被提示去评估、打分或比较输出结果。
Eval_Automatic,算法/数学自动计算,Yes/No,"标 Yes: BLEU, ROUGE, Accuracy, F1, Cosine相似度, 任务成功率 / 标 No: LLM打分、人类打分。核心判断规则: 通过公式或算法计算得出，无人类或LLM主观判断。"
Safety,是否避免有害/偏见输出（安全性）,Yes/No,"关键词: Safety, harmful, bias, ethical。排除项: 有用性。核心判断规则: 评估有害性或伦理问题。"
